Order,Company,Index,File/Directory,Number,Percent,PercentAll
By changed lines,Huawei,10,test/e2e/federated-secret.go,122,6.819,0.015
By changed lines,Huawei,10,test/images/serve_hostname,116,6.484,0.015
By changed lines,Huawei,10,pkg/api,115,6.428,0.015
By changed lines,Huawei,10,test/e2e/kubectl.go,114,6.372,0.014
By changed lines,Huawei,10,pkg/api/helpers_test.go,101,5.646,0.013
By changed lines,Huawei,10,pkg/controller/replicaset,92,5.143,0.012
By changed lines,Huawei,10,test/e2e/common,90,5.031,0.011
By changed lines,Huawei,10,test/e2e/daemon_set.go,88,4.919,0.011
By changed lines,Huawei,10,test/images/serve_hostname/Makefile,83,4.639,0.011
By changed lines,Huawei,10,test/e2e/common/secrets.go,80,4.472,0.01
By changed lines,Huawei,10,pkg/controller/replicaset/replica_set.go,64,3.577,0.008
By changed lines,Huawei,10,federation/pkg/federation-controller/replicaset,62,3.466,0.008
By changed lines,Huawei,10,pkg/controller/endpoint/endpoints_controller.go,56,3.13,0.007
All By changed lines,Net EASE 网易有态度,11,"",1600,0.203,0.203
By changed lines,Net EASE 网易有态度,11,pkg,1520,95.0,0.193
By changed lines,Net EASE 网易有态度,11,pkg/kubectl,1279,79.938,0.162
By changed lines,Net EASE 网易有态度,11,pkg/kubectl/cmd,1209,75.563,0.153
By changed lines,Net EASE 网易有态度,11,pkg/kubectl/cmd/util,645,40.313,0.082
By changed lines,Net EASE 网易有态度,11,pkg/kubectl/cmd/util/factory.go,634,39.625,0.08
By changed lines,Net EASE 网易有态度,11,pkg/kubectl/cmd/cmd_test.go,348,21.75,0.044
By changed lines,Net EASE 网易有态度,11,pkg/apis,176,11.0,0.022
By changed lines,Net EASE 网易有态度,11,pkg/apis/autoscaling/v1,104,6.5,0.013
By changed lines,Net EASE 网易有态度,11,pkg/apis/autoscaling/v1/defaults_test.go,91,5.688,0.012
By changed lines,Net EASE 网易有态度,11,pkg/apis/extensions/v1beta1/defaults_test.go,72,4.5,0.009
By changed lines,Net EASE 网易有态度,11,plugin/pkg/scheduler/algorithm/predicates,72,4.5,0.009
By changed lines,Net EASE 网易有态度,11,pkg/apis/extensions/v1beta1,72,4.5,0.009
By changed lines,Net EASE 网易有态度,11,plugin/pkg/scheduler/algorithm/predicates/predicates_test.go,72,4.5,0.009
By changed lines,Net EASE 网易有态度,11,pkg/apis/extensions,72,4.5,0.009
By changed lines,Net EASE 网易有态度,11,plugin/pkg/scheduler/algorithm,72,4.5,0.009
By changed lines,Net EASE 网易有态度,11,pkg/kubectl/rollback.go,59,3.688,0.007
By changed lines,Net EASE 网易有态度,11,pkg/kubectl/cmd/exec_test.go,52,3.25,0.007
By changed lines,Net EASE 网易有态度,11,pkg/controller,42,2.625,0.005
By changed lines,Net EASE 网易有态度,11,pkg/controller/podautoscaler,40,2.5,0.005
