Order,Company,Index,File/Directory,Number,Percent
By number of commits,Kismatic,9,/third_party/ui/bower_components/angular-material,302,25.834
By number of commits,Kismatic,9,/www/master,288,24.636
By number of commits,Kismatic,9,/third_party/ui/bower_components/angular-material/modules,277,23.695
By number of commits,Kismatic,9,/third_party/ui/bower_components/angular-material/modules/js,188,16.082
By number of commits,Kismatic,9,/third_party/ui/bower_components/modernizr,162,13.858
By number of commits,Kismatic,9,/www/master/components,161,13.772
By number of commits,Kismatic,9,/www/master/components/dashboard,159,13.601
By number of commits,Kismatic,9,/www/app,121,10.351
By number of commits,Kismatic,9,/third_party/ui/bower_components/modernizr/feature-detects,103,8.811
By number of commits,Kismatic,9,/third_party/ui/bower_components/jquery,90,7.699
By number of commits,Kismatic,9,/third_party/ui/bower_components/angular-material/modules/closure,88,7.528
All By number of commits,Mesosphere,10,"",1125,0.56
By number of commits,Mesosphere,10,/contrib/mesos,423,37.6
By number of commits,Mesosphere,10,/Godeps,388,34.489
By number of commits,Mesosphere,10,/contrib/mesos/pkg,384,34.133
By number of commits,Mesosphere,10,/Godeps/_workspace/src/github.com,376,33.422
By number of commits,Mesosphere,10,/contrib/mesos/pkg/scheduler,198,17.6
By number of commits,Mesosphere,10,/Godeps/_workspace/src/github.com/mesos/mesos-go,181,16.089
By number of commits,Mesosphere,10,/cluster,98,8.711
By number of commits,Mesosphere,10,/cluster/mesos/docker,81,7.2
By number of commits,Mesosphere,10,/pkg,78,6.933
By number of commits,Mesosphere,10,/Godeps/_workspace/src/github.com/mesos/mesos-go/mesosproto,73,6.489
All By number of commits,IBM,11,"",1025,0.51
By number of commits,IBM,11,/pkg,307,29.951
By number of commits,IBM,11,/test,243,23.707
By number of commits,IBM,11,/test/images,215,20.976
By number of commits,IBM,11,/docs,115,11.22
By number of commits,IBM,11,/pkg/kubectl,90,8.78
By number of commits,IBM,11,/pkg/kubectl/cmd,67,6.537
By number of commits,IBM,11,/pkg/api,66,6.439
By number of commits,IBM,11,/plugin,63,6.146
By number of commits,IBM,11,/plugin/pkg,60,5.854
By number of commits,IBM,11,/staging/src/k8s.io,58,5.659
By number of commits,IBM,11,/cluster,51,4.976
By number of commits,IBM,11,/plugin/pkg/scheduler,47,4.585
By number of commits,IBM,11,/docs/design,41,4.0
All By number of commits,Epic Games,12,"",915,0.456
By number of commits,Epic Games,12,/Godeps,888,97.049
By number of commits,Epic Games,12,/Godeps/_workspace/src/github.com,885,96.721
By number of commits,Epic Games,12,/Godeps/_workspace/src/github.com/jmespath/go-jmespath,673,73.552
By number of commits,Epic Games,12,/Godeps/_workspace/src/github.com/jmespath/go-jmespath/fuzz,643,70.273
By number of commits,Epic Games,12,/Godeps/_workspace/src/github.com/jmespath/go-jmespath/fuzz/corpus,642,70.164
By number of commits,Epic Games,12,/Godeps/_workspace/src/github.com/aws/aws-sdk-go,197,21.53
By number of commits,Epic Games,12,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/aws,111,12.131
By number of commits,Epic Games,12,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/internal,40,4.372
By number of commits,Epic Games,12,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service,38,4.153
By number of commits,Epic Games,12,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/aws/credentials,31,3.388
By number of commits,Epic Games,12,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/internal/protocol,28,3.06
All By number of commits,Weaveworks,13,"",861,0.429
By number of commits,Weaveworks,13,/cmd,511,59.35
By number of commits,Weaveworks,13,/cmd/kubeadm,483,56.098
By number of commits,Weaveworks,13,/cmd/kubeadm/app,476,55.285
By number of commits,Weaveworks,13,/pkg,146,16.957
By number of commits,Weaveworks,13,/docs,132,15.331
By number of commits,Weaveworks,13,/cmd/kubeadm/app/master,114,13.24
By number of commits,Weaveworks,13,/docs/getting-started-guides,110,12.776
By number of commits,Weaveworks,13,/docs/getting-started-guides/coreos/azure,103,11.963
By number of commits,Weaveworks,13,/cmd/kubeadm/app/phases,99,11.498
By number of commits,Weaveworks,13,/cmd/kubeadm/app/cmd,83,9.64
By number of commits,Weaveworks,13,/pkg/kubeadm,60,6.969
By number of commits,Weaveworks,13,/cmd/kubeadm/app/apis/kubeadm,58,6.736
By number of commits,Weaveworks,13,/cmd/kubeadm/app/util,33,3.833
All By number of commits,HP,14,"",812,0.404
By number of commits,HP,14,/Godeps,353,43.473
By number of commits,HP,14,/vendor,346,42.611
By number of commits,HP,14,/Godeps/_workspace/src/github.com,346,42.611
By number of commits,HP,14,/vendor/github.com/vmware/govmomi,346,42.611
By number of commits,HP,14,/Godeps/_workspace/src/github.com/vmware/govmomi,346,42.611
By number of commits,HP,14,/vendor/github.com/vmware,346,42.611
By number of commits,HP,14,/vendor/github.com/vmware/govmomi/govc,200,24.631
By number of commits,HP,14,/Godeps/_workspace/src/github.com/vmware/govmomi/govc,200,24.631
By number of commits,HP,14,/pkg,88,10.837
By number of commits,HP,14,/pkg/cloudprovider/providers,53,6.527
All By number of commits,Hyper.sh,15,"",776,0.386
By number of commits,Hyper.sh,15,/pkg,588,75.773
By number of commits,Hyper.sh,15,/pkg/kubelet,480,61.856
By number of commits,Hyper.sh,15,/pkg/kubelet/kuberuntime,129,16.624
By number of commits,Hyper.sh,15,/pkg/kubelet/dockershim,122,15.722
By number of commits,Hyper.sh,15,/test,76,9.794
By number of commits,Hyper.sh,15,/pkg/kubelet/api,58,7.474
By number of commits,Hyper.sh,15,/test/e2e,52,6.701
By number of commits,Hyper.sh,15,/pkg/kubelet/api/v1alpha1/runtime,36,4.639
By number of commits,Hyper.sh,15,/pkg/kubelet/dockertools,33,4.253
By number of commits,Hyper.sh,15,/pkg/controller,31,3.995
By number of commits,Hyper.sh,15,/federation,29,3.737
By number of commits,Hyper.sh,15,/federation/pkg,28,3.608
