Order,Company,Index,File/Directory,Number,Percent
By number of commits to file,Huawei,4,/docs/user-guide,97,12.663
By number of commits to file,Huawei,4,/pkg/registry,89,11.619
By number of commits to file,Huawei,4,/docs/user-guide/kubectl,80,10.444
By number of commits to file,Huawei,4,/pkg/kubelet,78,10.183
By number of commits to file,Huawei,4,/docs/man/man1,55,7.18
By number of commits to file,Huawei,4,/pkg/kubectl,53,6.919
By number of commits to file,Huawei,4,/pkg/api,52,6.789
By number of commits to file,Huawei,4,/examples,47,6.136
By number of commits to file,Huawei,4,/test,46,6.005
By number of commits to file,Huawei,4,/pkg/controller,38,4.961
By number of commits to file,Huawei,4,/pkg/kubectl/cmd,35,4.569
By number of commits to file,Huawei,4,/test/e2e,34,4.439
All By number of commits to file,CoreOS,5,"",534,2.135
By number of commits to file,CoreOS,5,/Godeps,249,46.629
By number of commits to file,CoreOS,5,/Godeps/_workspace/src,241,45.131
By number of commits to file,CoreOS,5,/Godeps/_workspace/src/github.com,135,25.281
By number of commits to file,CoreOS,5,/pkg,104,19.476
By number of commits to file,CoreOS,5,/Godeps/_workspace/src/google.golang.org/grpc,89,16.667
By number of commits to file,CoreOS,5,/pkg/kubelet,77,14.419
By number of commits to file,CoreOS,5,/plugin/pkg,74,13.858
By number of commits to file,CoreOS,5,/plugin/pkg/scheduler,63,11.798
By number of commits to file,CoreOS,5,/cluster,61,11.423
By number of commits to file,CoreOS,5,/pkg/kubelet/rkt,61,11.423
By number of commits to file,CoreOS,5,/cluster/gce,51,9.551
By number of commits to file,CoreOS,5,/cluster/gce/coreos,47,8.801
All By number of commits to file,Mesosphere,6,"",475,1.899
By number of commits to file,Mesosphere,6,/contrib/mesos,229,48.211
By number of commits to file,Mesosphere,6,/contrib/mesos/pkg,210,44.211
By number of commits to file,Mesosphere,6,/contrib/mesos/pkg/scheduler,123,25.895
By number of commits to file,Mesosphere,6,/Godeps,115,24.211
By number of commits to file,Mesosphere,6,/Godeps/_workspace/src/github.com,109,22.947
By number of commits to file,Mesosphere,6,/Godeps/_workspace/src/github.com/mesos/mesos-go,56,11.789
By number of commits to file,Mesosphere,6,/contrib/mesos/pkg/executor,39,8.211
By number of commits to file,Mesosphere,6,/cluster,39,8.211
By number of commits to file,Mesosphere,6,/Godeps/_workspace/src/github.com/camlistore,38,8.0
By number of commits to file,Mesosphere,6,/Godeps/_workspace/src/github.com/camlistore/camlistore,37,7.789
By number of commits to file,Mesosphere,6,/Godeps/_workspace/src/github.com/mesos/mesos-go/mesosproto,36,7.579
All By number of commits to file,Docker,7,"",347,1.387
By number of commits to file,Docker,7,/pkg,202,58.213
By number of commits to file,Docker,7,/docs,43,12.392
By number of commits to file,Docker,7,/pkg/util,41,11.816
By number of commits to file,Docker,7,/pkg/volume,37,10.663
By number of commits to file,Docker,7,/pkg/kubelet,37,10.663
By number of commits to file,Docker,7,/docs/getting-started-guides,36,10.375
By number of commits to file,Docker,7,/cluster,33,9.51
By number of commits to file,Docker,7,/cluster/ubuntu,29,8.357
By number of commits to file,Docker,7,/docs/getting-started-guides/docker-multinode,22,6.34
By number of commits to file,Docker,7,/plugin,22,6.34
By number of commits to file,Docker,7,/plugin/pkg,20,5.764
By number of commits to file,Docker,7,/plugin/pkg/scheduler,19,5.476
By number of commits to file,Docker,7,/pkg/controller,18,5.187
By number of commits to file,Docker,7,/cluster/ubuntu/util.sh,16,4.611
By number of commits to file,Docker,7,/pkg/api,15,4.323
All By number of commits to file,FathomDB,8,"",322,1.287
By number of commits to file,FathomDB,8,/cluster,142,44.099
By number of commits to file,FathomDB,8,/cluster/aws,88,27.329
By number of commits to file,FathomDB,8,/pkg,87,27.019
By number of commits to file,FathomDB,8,/pkg/cloudprovider,62,19.255
By number of commits to file,FathomDB,8,/pkg/cloudprovider/providers,57,17.702
By number of commits to file,FathomDB,8,/pkg/cloudprovider/providers/aws,46,14.286
By number of commits to file,FathomDB,8,/cluster/aws/util.sh,37,11.491
By number of commits to file,FathomDB,8,/pkg/cloudprovider/providers/aws/aws.go,33,10.248
By number of commits to file,FathomDB,8,/cluster/saltbase,27,8.385
By number of commits to file,FathomDB,8,/cluster/saltbase/salt,26,8.075
By number of commits to file,FathomDB,8,/cluster/aws/templates,25,7.764
By number of commits to file,FathomDB,8,/test/e2e,24,7.453
By number of commits to file,FathomDB,8,/Godeps,24,7.453
By number of commits to file,FathomDB,8,/Godeps/_workspace,23,7.143
All By number of commits to file,Microsoft,9,"",276,1.104
By number of commits to file,Microsoft,9,/pkg,143,51.812
By number of commits to file,Microsoft,9,/cluster,43,15.58
By number of commits to file,Microsoft,9,/pkg/registry,27,9.783
By number of commits to file,Microsoft,9,/pkg/api,26,9.42
By number of commits to file,Microsoft,9,/pkg/kubectl,22,7.971
By number of commits to file,Microsoft,9,/test,19,6.884
By number of commits to file,Microsoft,9,/test/e2e,18,6.522
By number of commits to file,Microsoft,9,/docs,15,5.435
